header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,cleaned_aircraft
"""upgrade to business class""",Solo Leisure,08/12/24,United Arab Emirates,"   I flew a return trip DXB-LIS-DXB I used my miles to upgrade to business class on the outbound journey which was a very nice experience a morning flight with flat bed seat lovely crew and amazing service . On the return they surprised me on boarding with an upgrade to business class. Even though it was the middle seat, it didn’t bother me. They provided bulgari amenities kit and mattress and cover. After a delicious meal I had a 5 hrs sleep as it was an over night flight. ",Boeing 777,Solo Leisure,Business Class,Dubai to Lisbon,08/12/24,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,Boeing 777-300ER
"""not welcome and passengers are a burden""",Solo Leisure,07/29/24,Netherlands,"   First time flying Emirates, was expecting a lot because this airline has a good name. Unfortunately the facts are different. Attendants on 3 of the 4 legs a have flown with them look as they are very tired. Making eye contact, heads are turned away, being in the aisle for a short moment, I was literally pushed aside by a staff member walking up and down the aisle. Meal time was too short, 1 time I got my breakfast 30 minutes before landing, 5 minutes later they tried to collect my meal again. The meals itself were overall good and the food was enjoyable. Ground services in Amsterdam and Dubai were accurate and friendly. Overall I booked my next vacation in December and avoided this airline. The feeling I got from Emirates was that I am not welcome and passengers are a burden.",Boeing 777-300,Solo Leisure,Economy Class,Amsterdam to Phuket via Dubai,07/29/24,no,Not Verified,5.0,2.0,1.0,4.0,3.0,2.0,2.0,Boeing 777-300ER
"""should be considered among the worst""",Business,07/18/24,Singapore,"  Ground Staff and Service Failures on Flight EK 354. My carefully planned return trip from UK, with EMIRATES turned into a nightmare due to issues caused by their Dubai ground staff.  Upon checking in Manchester, I was issued a boarding pass for the MAN-DXB and DXB-SIN legs of my journey, with seats allocated according to my pre booking. However, upon reaching Dubai and during check-in, the counter staff took my boarding pass and issued a new one. Initially, I presumed new boarding pass was due to a soiled document and did not notice the seat change as there is no change in flight. To my disappointment, the new seat I was assigned turned out to be directly in front of the toilet onboard. I also sought assistance from cabin crew and online chat services before take-off, but unfortunately, no one helped me. I had specifically opted for an Economy Flex Plus ticket, solely to secure a seat reservation that would allow for a more comfortable journey. The proximity to the restroom doors, with their associated noise, significantly hindered my ability to rest or enjoy the flight services as intended. Furthermore, crew members accessing the overhead luggage bins above my seat at regular intervals further disrupted any chance of relaxation. Additionally, during the meal service, crew members did not lock the lavatory door, causing passengers to enter and exit while I was eating. This forced me to stop my meal. At the end of the journey, the crew sarcastically asked me about my flight experience, despite being well aware of the difficulties I had faced. Emirates' service in 2024 should be considered among the worst. Until today I have not received any reply on my compliant placed with Emirates and their customer service reminded me that it requires 60 days to send a reply. I must tell that compare to past, Emirates service quality are highly deteriorated and no one care of it there.",A380,Business,Economy Class,Manchester to Singapore via Dubai,07/18/24,no,Trip Verified,1.0,1.0,1.0,2.0,1.0,1.0,,A380-800
“services are very great”,Family Leisure,07/13/24,Hong Kong,"  The staff are friendly and the seat is comfortable. The air ticket is cheap. There's TV and wifi, there are also a gift for kids too. The services are very great. There are many delicious foods to eat too.",A380,Family Leisure,Economy Class,Bangkok to Hong Kong,07/13/24,yes,Not Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""worth paying to avoid economy""",Solo Leisure,07/08/24,United Kingdom,"  It was my first time flying premium economy on Emirates, and I'd happily do it again. The seats were wide, with plenty of legroom, and the food was quite good. Service was also fine. Shame they serve Prosecco and there is very limited choice on wines, but let's skip right past that. Obviously, I'd much rather fly business or first on Emirates, but this was better than the old business class on BA and worth paying to avoid economy.",A380,Solo Leisure,Premium Economy,London to Dubai,07/08/24,yes,Trip Verified,8.0,4.0,4.0,4.0,4.0,4.0,4.0,A380-800
"""I'd again chose EK economy""",Family Leisure,06/20/24,United States," Having flown almost exclusely in business class for work travel paid for by my employer, the thought of 19+ hours in economy class from Delhi to Washington via Dubai filled me with dread. I was pleasantly surprised, however, by EK's economy product. While it is still economy and you can never 'go flat', I found Emirates' economy to be way better than United or Air Canada economy and, overall, offers solid hard and soft products. The seat is a decent size and has good legroom, again, compared to North American carriers. Catering was good with two full meals and a pizza or sandwich snack in between. Meal portions were good with plenty of variety. I was impressed by the 'engineering' of the economy meal tray with every conceivable space used to offer something. Every time I rang the call button, it was answered pleasantly. Washrooms were kept quite clean throughout both sectors. The ICE entertainment system offers tons of options. If paying out of my own pocket, I'd again chose EK economy.",777-300ER / A380-800,Family Leisure,Economy Class,Delhi to Washington via Dubai,06/20/24,yes,Not Verified,9.0,5.0,5.0,5.0,5.0,4.0,5.0,Boeing 777-300ER
"""Overall a good experience""",Solo Leisure,06/03/24,Canada,"   Boarding started on time, the staff were friendly and hospitable despite some challenging behavior from some of the travelers. The cabin was clean and well kept. The food was served on time and was appetizing. The IFE worked well and their library of content was well curated. Overall a good experience.",A380,Solo Leisure,Economy Class,Toronto to Dubai,06/03/24,yes,Not Verified,9.0,4.0,5.0,4.0,4.0,5.0,5.0,A380-800
"""are much better options to fly""",Solo Leisure,06/01/24,Thailand,"  Emirates provides an option to purchase extra kilograms of luggage before the flight. However, the link they provide does not lead to any option that allows for pre-purchasing luggage. Instead, the link leads to options for seat or class upgrades, food selection, or flight charges. In other words, Emirates takes extra effort to hide the option to buy extra kilograms prior to check-in. Today, I faced an extra charge of £380 because I was not given the option to purchase extra kilograms in advance. I tried searching but could not find the actual link to buy extra luggage. There are much better options to fly. Will not use your bad service next time.",A380,Solo Leisure,Economy Class,Manchester to Bangkok via Dubai,06/01/24,no,Trip Verified,1.0,3.0,3.0,3.0,1.0,1.0,3.0,A380-800
“an absolute sense of luxury”,Solo Leisure,05/28/24,Australia," My first experience travelling First Class (using Qantas points) was pretty surreal. Having flown the best (and worst) of discount airlines and everything in between, this was something else. Just the sense that you're the only one on board and that you call the shots. It was other-worldly. I drank dom perignon for 7 hours, ate a lot of caviar and chatted to some lovely relaxed staff (after all, they only had four passengers to attend to). The 'suite' was large, comfortable and opulent. Of course it was... Even though it was a 777 (not a 380), there was an absolute sense of luxury. Not sure if I'll ever try/fly first class again, but it was worth the points and a lot of fun.",Boeing 777,Solo Leisure,First Class,Singapore to Melbourne,05/28/24,yes,Not Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,Boeing 777-300ER
"""they have lost their shine""",Solo Leisure,05/27/24,Lebanon,"  Decent flights, but unremarkable. Service was polite but disengaged, with little attempt by crew to interact with passengers. Seats were comfortable, with good legroom. I thought the IFE was excellent, with some quality new releases to choose from. The meals were large and generous - I am a Qatar Airways frequent flyer, and the Emirates meals are significantly larger than those on Qatar. However, the alcohol options are far smaller on Emirates, and on both flights I was only offered a drink once per flight. It's been nearly 20 years since I last flew Emirates and feel they have lost their shine; whilst I thought they were decent, I feel they lack the polish and refinement of Qatar.",Boeing 777-300ER,Solo Leisure,Economy Class,Beirut to Osaka via Dubai,05/27/24,yes,Trip Verified,7.0,4.0,3.0,4.0,3.0,4.0,5.0,Boeing 777-300ER
